"district_no","accumulation_period","Year","stations_rain","stations_temp","Y_t","IR_t","IT_t","prediction"
1062,"3:9",2018,5280,1975,67.0939705882353,248.3,14.6401869158879,69.7950083597915
1062,"3:9",2019,5280,1975,87.8626470588235,524.8,14.061214953271,92.4570304082813
1062,"3:9",2020,5280,1975,83.1313235294118,302.8,13.6584112149533,81.8023718718915
1062,"3:9",2021,5280,1975,86.9,521.4,13.1808411214953,88.5029179001637
3101,"3:7",2006,4651,662,78.2088235294118,277.4,12.7522875816993,73.4083629330704
3101,"3:7",2007,4651,662,68.6682352941177,508.2,13.8980392156863,71.8593977263481
3101,"3:7",2008,4651,662,89.8276470588236,378.2,12.8607843137255,89.0205698881414
3101,"3:7",2009,4651,662,83.8870588235294,302.2,13.1980392156863,79.557213691032
3101,"3:7",2010,4651,662,78.9464705882353,323.9,12.6124183006536,82.7456320480626
3101,"3:7",2011,4651,662,70.3058823529412,279.3,13.0986928104575,74.9167114702104
3101,"3:7",2012,4651,662,74.4652941176471,271.6,12.7947712418301,72.1444069210304
3101,"3:7",2013,4651,662,83.124705882353,331.2,11.2529411764706,82.5569352278665
3101,"3:7",2014,4651,662,88.2841176470588,442.8,13.5816993464052,84.6010168263328
3101,"3:7",2015,4651,662,84.8435294117647,328.3,12.2666666666667,83.291338656243
3101,"3:7",2016,4651,662,85.9029411764706,336.7,13.0261437908497,84.6542015514806
3101,"3:7",2017,4651,662,85.6623529411765,482.4,13.2588235294118,83.4183106173554
3101,"3:7",2018,4651,662,59.6217647058824,197.4,14.2483660130719,60.1093948861545
3101,"3:7",2019,4651,662,83.4811764705882,329.9,13.743137254902,83.2482426123463
3101,"3:7",2020,4651,662,76.9405882352941,306.8,12.8274509803922,79.8830875477652
3101,"3:7",2021,4651,662,79.5,347.1,12.6934640522876,86.2557656318548
3102,"3:7",2006,4651,662,83.3492647058824,277.4,12.7522875816993,81.7558987627904
3102,"3:7",2007,4651,662,74.6726470588235,508.2,13.8980392156863,75.335609580056
3102,"3:7",2008,4651,662,102.296029411765,378.2,12.8607843137255,96.4120281666629
3102,"3:7",2009,4651,662,89.4194117647059,302.2,13.1980392156863,86.8046811786058
3102,"3:7",2010,4651,662,89.7427941176471,323.9,12.6124183006536,90.1725224805764
3102,"3:7",2011,4651,662,82.2661764705882,279.3,13.0986928104575,83.375012841524
3102,"3:7",2012,4651,662,77.7895588235294,271.6,12.7947712418301,80.7848301109655
3102,"3:7",2013,4651,662,89.6129411764706,331.2,11.2529411764706,89.6707081780594
3102,"3:7",2014,4651,662,91.9363235294118,442.8,13.5816993464052,88.7782957429478
3102,"3:7",2015,4651,662,94.5597058823529,328.3,12.2666666666667,91.0063182603671
3102,"3:7",2016,4651,662,93.4830882352941,336.7,13.0261437908497,91.2399026046664
3102,"3:7",2017,4651,662,91.5064705882353,482.4,13.2588235294118,92.9082371319365
3102,"3:7",2018,4651,662,79.2298529411765,197.4,14.2483660130719,78.7725029015276
3102,"3:7",2019,4651,662,84.3532352941176,329.9,13.743137254902,87.6745327901391
3102,"3:7",2020,4651,662,91.5766176470588,306.8,12.8274509803922,87.3326252786974
3102,"3:7",2021,4651,662,79.9,347.1,12.6934640522876,93.6704116375388
3103,"3:10",2006,1544,662,73.0602941176471,317.7,13.8963265306122,74.9057071012425
3103,"3:10",2007,1544,662,71.1229411764706,571.3,13.6775510204082,74.3007332580594
3103,"3:10",2008,1544,662,80.2855882352941,413,13.2012244897959,74.2119191287817
3103,"3:10",2009,1544,662,83.2482352941177,378.8,13.6857142857143,76.4733588927271
3103,"3:10",2010,1544,662,65.8108823529412,452.2,12.8195918367347,70.0418984495814
3103,"3:10",2011,1544,662,67.6735294117647,363.2,13.7232653061224,76.3953559823043
3103,"3:10",2012,1544,662,75.5361764705882,356.9,13.3379591836735,77.0257874011064
3103,"3:10",2013,1544,662,75.6988235294118,438,12.5069387755102,73.6516473781458
3103,"3:10",2014,1544,662,88.6614705882353,464.4,14.0771428571429,84.6945491494686
3103,"3:10",2015,1544,662,75.7241176470588,401.4,12.9244897959184,76.0452425473969
3103,"3:10",2016,1544,662,82.1867647058824,298.3,13.8289795918367,74.1704213317101
3103,"3:10",2017,1544,662,80.6494117647059,518.4,13.7665306122449,77.9389453930519
3103,"3:10",2018,1544,662,59.9120588235294,209.3,14.8869387755102,59.3259433157917
3103,"3:10",2019,1544,662,76.5747058823529,360.6,14.3314285714286,81.0247614133505
3103,"3:10",2020,1544,662,76.3373529411765,362.4,13.9734693877551,77.5573376849034
3103,"3:10",2021,1544,662,72.6,326.9,13.4273469387755,77.3187445135386
3151,"3:7",2006,1544,662,73.5720588235294,207.5,12.7522875816993,77.3675405605204
3151,"3:7",2007,1544,662,68.5605882352941,396.8,13.8980392156863,72.231614430667
3151,"3:7",2008,1544,662,86.0491176470588,248.2,12.8607843137255,82.8426288839039
3151,"3:7",2009,1544,662,81.9376470588235,241.8,13.1980392156863,81.2205853620344
3151,"3:7",2010,1544,662,70.2261764705882,200.4,12.6124183006536,76.255673805591
3151,"3:7",2011,1544,662,70.514705882353,235.1,13.0986928104575,80.7367266925831
3151,"3:7",2012,1544,662,75.7032352941177,237.5,12.7947712418301,81.7891660412259
3151,"3:7",2013,1544,662,81.5917647058824,229.3,11.2529411764706,82.1824361973026
3151,"3:7",2014,1544,662,89.7802941176471,316.7,13.5816993464052,82.5280739522502
3151,"3:7",2015,1544,662,82.7688235294118,199,12.2666666666667,76.3083017327318
3151,"3:7",2016,1544,662,83.5573529411765,210.9,13.0261437908497,77.4465237923597
3151,"3:7",2017,1544,662,80.7458823529412,380.6,13.2588235294118,79.0374227010712
3151,"3:7",2018,1544,662,62.7344117647059,154,14.2483660130719,63.061202398209
3151,"3:7",2019,1544,662,75.3229411764706,205.2,13.743137254902,74.6881565744893
3151,"3:7",2020,1544,662,76.1114705882353,188.9,12.8274509803922,73.6869283843814
3151,"3:7",2021,1544,662,75.2,184.9,12.6934640522876,72.9934890789148
3153,"3:7",2006,4651,722,81.3779411764706,277.4,6.19084967320261,78.3433973254521
3153,"3:7",2007,4651,722,76.1194117647059,508.2,7.24183006535948,77.5087275265988
3153,"3:7",2008,4651,722,99.6608823529412,378.2,5.94771241830065,93.3622439845617
