stations_id,von_datum,bis_datum,geobreite,geolaenge,kreis_code,res,var,per,dist,kreis_code_in,state
1694,1947-01-01,2024-05-12,53.6058,12.1034,Goldberg,daily,kl,historical,99.09881933529113,1053,Herzogtum Lauenburg
19207,2023-04-01,2024-05-12,53.8178,12.0645,Guelzow-Pruezen,daily,kl,recent,99.57594514536785,1053,Herzogtum Lauenburg
7298,2005-07-01,2024-05-12,54.5268,9.0425,Hattstedt,daily,kl,historical,13.655974612663313,1054,Nordfriesland
4919,1977-10-01,2024-05-12,54.4965,8.8069,Strucklahnungshoern,daily,kl,historical,14.426879828289275,1054,Nordfriesland
2907,1974-11-01,2024-05-12,54.7903,8.9514,Leck,daily,kl,historical,19.758765193038727,1054,Nordfriesland
1963,1969-01-01,2024-05-12,54.5742,8.5133,Hallig Hooge,daily,kl,historical,25.078037457808207,1054,Nordfriesland
19243,2024-01-01,2024-05-12,54.6831,8.4721,Foehr,daily,kl,recent,28.287908263774728,1054,Nordfriesland
1379,1957-01-01,2024-05-12,54.7737,9.3753,Flensburg (Schaeferhaus),daily,kl,historical,35.47016379331172,1054,Nordfriesland
4393,1951-01-01,2024-05-12,54.3279,8.6031,Sankt Peter-Ording,daily,kl,historical,37.16135685752391,1054,Nordfriesland
4466,1947-01-01,2024-05-12,54.5275,9.5487,Schleswig,daily,kl,historical,43.19521597490262,1054,Nordfriesland
2437,1971-01-01,2024-05-12,54.457,9.5203,Schleswig-Jagel,daily,kl,historical,43.963999823498156,1054,Nordfriesland
1266,1964-05-01,2024-05-12,54.2992,9.3162,Erfde,daily,kl,historical,44.43897466650044,1054,Nordfriesland
1666,1971-01-01,2024-05-12,54.8273,9.5058,Gluecksburg-Meierwik,daily,kl,historical,45.697295630171226,1054,Nordfriesland
2303,1969-01-01,2024-05-12,54.3162,9.5385,Hohn,daily,kl,historical,53.213980104261715,1054,Nordfriesland
3032,1937-01-01,2024-05-12,55.011,8.4125,List auf Sylt,daily,kl,historical,53.792595104254794,1054,Nordfriesland
788,1965-01-01,2024-05-12,54.1193,8.8584,Buesum,daily,kl,historical,55.23005710178755,1054,Nordfriesland
1200,1998-01-01,2024-05-12,54.0691,9.0105,Elpersbuettel,daily,kl,historical,61.20996171408451,1054,Nordfriesland
6105,1998-06-01,2024-05-12,54.3194,9.8051,Ostenfeld (Rendsburg),daily,kl,historical,67.34572522331577,1054,Nordfriesland
5930,1981-08-01,2024-05-12,54.641,10.0238,Schoenhagen (Ostseebad),daily,kl,historical,72.64949567904684,1054,Nordfriesland
19172,2020-09-01,2024-05-12,54.0246,9.388,Wacken,daily,kl,historical,73.0442648290661,1054,Nordfriesland
