"district_no","accumulation_period","Year","stations","Y_t","IR_t","IT_t","prediction"
5766,"3:8",2017,3028,80.1494117647059,484.8,14.0548913043478,82.5173536940408
5766,"3:8",2018,3028,75.7120588235294,273.3,15.3820652173913,75.3666292367996
5766,"3:8",2019,3028,82.7747058823529,391.6,14.4494565217391,84.2556323796762
5766,"3:8",2020,3028,84.3373529411765,320,14.0798913043478,83.2252467693296
5766,"3:8",2021,3028,72.6,501.5,12.7907608695652,77.1043386991699
5915,"3:6",2006,6337,88.9742647058824,250.7,10.677868852459,92.5743554945822
5915,"3:6",2007,6337,81.5226470588236,247.2,12.9032786885246,82.5164032867441
5915,"3:6",2008,6337,103.471029411765,218.6,11.5713114754098,94.2259313861296
5915,"3:6",2009,6337,96.2194117647059,191.8,12.1696721311475,94.470116015905
5915,"3:6",2010,6337,87.1677941176471,115.5,10.7729508196721,89.3743615489365
5915,"3:6",2011,6337,90.6161764705882,98.8,12.5401639344262,88.8611000993945
5915,"3:6",2012,6337,90.5645588235294,219.6,11.7639344262295,93.4867646232631
5915,"3:6",2013,6337,98.8129411764706,191.9,9.56803278688525,95.0794126116129
5915,"3:6",2014,6337,93.2613235294118,196.5,12.4237704918033,93.1906074147717
5915,"3:6",2015,6337,91.2097058823529,163.2,11.0762295081967,96.017990740364
5915,"3:6",2016,6337,88.5580882352941,279.3,11.35,84.4824277887425
5915,"3:6",2017,6337,94.9064705882353,130.2,12.5245901639344,92.7828539348682
5915,"3:6",2018,6337,88.7548529411765,138.9,13.094262295082,91.8990150015723
5915,"3:6",2019,6337,90.5032352941176,194.2,12.4688524590164,93.1850638407135
5915,"3:6",2020,6337,97.6516176470588,153.6,12.0450819672131,95.0330592363476
5915,"3:6",2021,6337,86.3,257.3,10.7672131147541,91.3146546231116
5974,"3:6",2006,3031,83.3647058823529,287.2,10.5975409836066,83.126919013909
5974,"3:6",2007,3031,79.2270588235294,266.4,12.5975409836066,79.3749783419466
5974,"3:6",2008,3031,93.4894117647059,197,11.4491803278689,88.7340515545794
5974,"3:6",2009,3031,90.1517647058823,201,11.7049180327869,87.9283348742621
5974,"3:6",2010,3031,86.5141176470588,175.8,10.3655737704918,92.3856065779714
5974,"3:6",2011,3031,89.0764705882353,149.3,12.1196721311475,89.1188670347862
5974,"3:6",2012,3031,84.5388235294118,203.1,11.7286885245902,87.7471936374642
5974,"3:6",2013,3031,98.1011764705882,216.4,9.3516393442623,95.0000125179776
5974,"3:6",2014,3031,94.0635294117647,186.5,11.7770491803279,88.5524706790013
5974,"3:6",2015,3031,95.8258823529412,163.8,10.7459016393443,91.4690260812109
5974,"3:6",2016,3031,90.6882352941176,205.5,11.2180327868852,88.8443801998247
5974,"3:6",2017,3031,87.5505882352941,171.9,12.366393442623,88.2602745198311
5974,"3:6",2018,3031,85.3129411764706,157.9,12.7008196721311,88.4220255126172
5974,"3:6",2019,3031,85.1752941176471,223.5,12.1713114754098,85.2467544675383
5974,"3:6",2020,3031,91.6376470588235,178,11.6188524590164,89.2033379760529
5974,"3:6",2021,3031,78.6,205.1,10.8532786885246,89.9034140698505
6432,"3:9",2006,4411,67.5691176470588,387.2,14.5897196261682,70.1289365939412
6432,"3:9",2007,4411,70.3911764705882,504.8,14.6383177570093,69.7917535017276
6432,"3:9",2008,4411,71.1132352941176,455,14.2219626168224,71.2561305311833
6432,"3:9",2009,4411,70.135294117647,382.1,14.8957943925234,69.5180032959611
6432,"3:9",2010,4411,73.2573529411765,545.9,13.9644859813084,74.2715242630074
6432,"3:9",2011,4411,63.1794117647059,319.3,15.0285046728972,70.3167801309241
6432,"3:9",2012,4411,67.9014705882353,373.8,14.8271028037383,69.8178931190991
6432,"3:9",2013,4411,74.3235294117647,450.4,13.7130841121495,70.4381075330554
6432,"3:9",2014,4411,77.4455882352941,406.4,14.9009345794393,69.126322185166
6432,"3:9",2015,4411,72.9676470588235,242.8,14.9948598130841,71.6648519906727
6432,"3:9",2016,4411,64.1897058823529,384.5,14.8285046728972,69.6976168905543
6432,"3:9",2017,4411,64.1117647058824,474.7,15.1107476635514,65.9838597663237
6432,"3:9",2018,4411,65.7338235294118,261.6,16.2242990654206,67.2948107753045
6432,"3:9",2019,4411,70.8558823529412,375.5,15.2495327102804,67.972101015493
6432,"3:9",2020,4411,76.9779411764706,302.8,15.2331775700935,70.4084558744437
6432,"3:9",2021,4411,67.4,420.9,13.9070093457944,69.8657937096138
6433,"3:6",2006,1420,69.9948529411764,220.4,11.8983606557377,76.3381865087446
6433,"3:6",2007,1420,65.1485294117647,291.1,14.1950819672131,64.9198082383106
6433,"3:6",2008,1420,77.6022058823529,200.5,12.8385245901639,75.269020321362
6433,"3:6",2009,1420,76.8558823529412,230.7,13.227868852459,72.6655395770559
6433,"3:6",2010,1420,79.6095588235294,216.3,12.0877049180328,76.1933397945681
6433,"3:6",2011,1420,68.6632352941176,138.1,14.0532786885246,72.8421119781064
6433,"3:6",2012,1420,72.3169117647059,205.5,13.2106557377049,74.101048892715
6433,"3:6",2013,1420,78.3705882352941,272,10.905737704918,73.7132372283514
6433,"3:6",2014,1420,81.2242647058823,143,13.8073770491803,73.6545639151575
6433,"3:6",2015,1420,75.9779411764706,110.3,12.4598360655738,77.0300926042646
6433,"3:6",2016,1420,66.9316176470588,303.4,12.0254098360656,68.2967638669141
6433,"3:6",2017,1420,69.9852941176471,163.4,13.7827868852459,73.6754604365739
6433,"3:6",2018,1420,69.5389705882353,146.9,14.3983606557377,71.7800716840494
6433,"3:6",2019,1420,74.4926470588235,192.3,13.4614754098361,73.9534100799321
6433,"3:6",2020,1420,78.5463235294118,145.2,13.2401639344262,75.3476731772606
6433,"3:6",2021,1420,69.2,247,11.7581967213115,74.6784952260451
6434,"3:4",2006,5300,79.2676470588235,98.1,4.98196721311475,81.3180419565222
6434,"3:4",2007,5300,71.6164705882353,70.8,9.59180327868853,77.0759383185735
6434,"3:4",2008,5300,86.0652941176471,141.2,5.52295081967213,82.9737078361022
6434,"3:4",2009,5300,76.3141176470588,142,8.17704918032787,77.8112038141098
