"accumulation_period","term","estimate","std.error","statistic","p.value","district_no"
"3:8","IR_t_IT_t",-0.0435027867610615,0.045094914897078,-0.964693843204932,0.357447233228719,1054
"3:9","(Intercept)",-743.676155055531,773.893196788021,-0.960954506567698,0.359234269405848,1054
"3:9","IR_t",0.391174569208659,0.695737208595314,0.56224471593008,0.586330605274006,1054
"3:9","IT_t",117.634435091544,128.011975705066,0.918933048596702,0.379762311789556,1054
"3:9","IR_t_squared",-0.00044500074386104,0.000224609617605324,-1.9812185631471,0.0757190283032387,1054
"3:9","IT_t_squared",-4.83004000901608,5.40488099860857,-0.893644098780254,0.392511463795403,1054
"3:9","IR_t_IT_t",0.0057700120921405,0.0468902421728562,0.123053578415525,0.904502701793334,1054
"3:10","(Intercept)",2485.1870450822,2133.76491129977,1.1646958068911,0.271174369363214,1055
"3:10","IR_t",-1.54748240797712,1.18346746776508,-1.3075833938211,0.220277138709364,1055
"3:10","IT_t",-322.056532493988,315.242718847945,-1.02161449968121,0.331042287031781,1055
"3:10","IR_t_squared",-0.000116064854404009,0.000275143296567168,-0.421834207309772,0.682070864122892,1055
"3:10","IT_t_squared",10.5247512561127,11.6762199235056,0.901383437881731,0.388578220519983,1055
"3:10","IR_t_IT_t",0.126763318845349,0.0886261558817322,1.4303149852794,0.183120703380656,1055
"3:3","(Intercept)",80.0721635444285,22.5596628924953,3.54935106637011,0.00527394163477747,1055
"3:3","IR_t",0.731857518434721,0.801465237767686,0.913149421768008,0.382651868174855,1055
"3:3","IT_t",0.412285552184561,5.10255145770475,0.080799881314674,0.937195343539651,1055
"3:3","IR_t_squared",-0.00786429780325759,0.00704290602543773,-1.11662682632043,0.290264988580902,1055
"3:3","IT_t_squared",0.298296735613445,0.669558946086046,0.445512284403277,0.665439321024487,1055
"3:3","IR_t_IT_t",-0.0289581112805347,0.0737843109180177,-0.392469766543056,0.702946361532578,1055
"3:4","(Intercept)",71.8957081686528,48.6808245575155,1.47687942474576,0.170492936435078,1055
"3:4","IR_t",0.575727449216167,0.758264878708609,0.759269571072158,0.465212551228422,1055
"3:4","IT_t",3.26511181338979,12.215593546029,0.267290475987652,0.794677126593029,1055
"3:4","IR_t_squared",-0.00708929104123537,0.00274873114358247,-2.5791140242242,0.0274580077593108,1055
"3:4","IT_t_squared",-0.721670264471358,1.05402032309071,-0.684683443631521,0.509101055743767,1055
"3:4","IR_t_IT_t",0.078145143652178,0.081058609880097,0.964057288519645,0.357750986519599,1055
"3:5","(Intercept)",-474.867557382199,354.54382098951,-1.33937620477173,0.210093281313637,1055
"3:5","IR_t",3.59515696787068,1.76805076803997,2.03340143442612,0.0694089134527788,1055
"3:5","IT_t",81.5138078105458,59.9920786188924,1.35874284884131,0.204084686491767,1055
"3:5","IR_t_squared",-0.00502328573715328,0.00179561877915828,-2.79752350301661,0.018874567804508,1055
"3:5","IT_t_squared",-2.50775256848719,2.66733069990209,-0.940173098363559,0.369283848911561,1055
"3:5","IR_t_IT_t",-0.28652622926775,0.172821473268797,-1.65793187529482,0.128323849915674,1055
"3:6","(Intercept)",139.776391625912,533.881798863866,0.261811494460693,0.798780497954098,1055
"3:6","IR_t",-0.333148815640339,1.1820763467736,-0.281833585918242,0.783817492659781,1055
"3:6","IT_t",1.88816958049161,99.7948724631522,0.0189205069748327,0.985276710510028,1055
"3:6","IR_t_squared",0.00102396828230496,0.00237336963736826,0.431440710365031,0.675301031441038,1055
"3:6","IT_t_squared",-0.0422070836030349,4.81320461064273,-0.00876901919143612,0.993175898429896,1055
"3:6","IR_t_IT_t",-0.0167461770937182,0.0945552007765762,-0.177104770083326,0.862961838815477,1055
"3:7","(Intercept)",1053.5138906618,1183.66366634836,0.890044968527184,0.394350067046484,1055
"3:7","IR_t",-0.786244385524454,1.24417714015911,-0.631939263426675,0.541603384979516,1055
"3:7","IT_t",-144.471591477882,187.951889052734,-0.768662620024781,0.459861822560582,1055
"3:7","IR_t_squared",-0.000280323062004473,0.000759386358320373,-0.369144189822553,0.719716425337494,1055
"3:7","IT_t_squared",5.3619529803584,7.34901054138325,0.729615633310707,0.482365532489835,1055
"3:7","IR_t_IT_t",0.0732588568873492,0.119454227801667,0.613279732626816,0.553383631471853,1055
"3:8","(Intercept)",-50.3834799185202,1307.13868356012,-0.0385448618055553,0.9700119102246,1055
"3:8","IR_t",-1.34095988775866,1.01334801717387,-1.3232965033064,0.215193792846452,1055
"3:8","IT_t",65.0139426870124,201.125452991494,0.323250696120306,0.753163536372237,1055
"3:8","IR_t_squared",-0.000169446297495168,0.000498178906062745,-0.340131417514949,0.740794070833282,1055
"3:8","IT_t_squared",-4.12694811116056,7.73175448652702,-0.533766057671901,0.605164223931366,1055
"3:8","IR_t_IT_t",0.107841873505593,0.0885433015685898,1.21795631736246,0.251197472820164,1055
"3:9","(Intercept)",656.537916450128,1624.90954793945,0.404045823524566,0.694684636499046,1055
"3:9","IR_t",-1.37368235933723,1.07952062780613,-1.2724929232051,0.23198845706261,1055
"3:9","IT_t",-39.5265702056756,240.231213675319,-0.1645355305872,0.872587860581493,1055
"3:9","IR_t_squared",-0.000148677502789721,0.000330181042541968,-0.450290851482861,0.662105419339926,1055
"3:9","IT_t_squared",-0.225427230607962,8.9004274004288,-0.0253276860161908,0.980291887840091,1055
"3:9","IR_t_IT_t",0.109149490319337,0.0848873385326988,1.28581590854438,0.227483031904385,1055
"3:10","(Intercept)",-523.240543754424,1304.51973853708,-0.401098218982258,0.696784393414054,1056
"3:10","IR_t",1.42908307807129,1.09935134308551,1.29993298963035,0.222787911524119,1056
"3:10","IT_t",35.6178197913577,174.409863379472,0.204219068240781,0.842278640350493,1056
"3:10","IR_t_squared",-0.00045475338727987,0.000169912863863669,-2.67639175127286,0.0232361990699301,1056
"3:10","IT_t_squared",0.0695923880148614,6.00792928774917,0.0115834232864172,0.990985807507125,1056
"3:10","IR_t_IT_t",-0.0715800822589218,0.0716919874309761,-0.998439083974872,0.341612845063576,1056
"3:3","(Intercept)",80.1118379047268,11.6931360745336,6.85118495107585,4.45201194581674e-05,1056
"3:3","IR_t",-0.191367726224446,0.419968613877381,-0.455671495204448,0.658360711611773,1056
"3:3","IT_t",2.4977177877699,3.42234838700825,0.729825694324871,0.482242640174351,1056
"3:3","IR_t_squared",0.0038137264261617,0.00335945127434414,1.13522302147581,0.282758583103698,1056
"3:3","IT_t_squared",-0.057293670999795,0.460487000857852,-0.124419735829809,0.903448443733833,1056
"3:3","IR_t_IT_t",-0.038847813470364,0.0423045213707369,-0.918289870955402,0.380082881823016,1056
"3:4","(Intercept)",90.7308212193239,38.2812727717869,2.37010983830695,0.0392698734980736,1056
"3:4","IR_t",-0.499388017100633,0.641855502337804,-0.778038071313142,0.454560980737096,1056
"3:4","IT_t",2.17687663711358,10.4033189948548,0.209248282994129,0.838455560508017,1056
"3:4","IR_t_squared",0.0015563337045342,0.00261832614327852,0.59440024632892,0.565449061356919,1056
"3:4","IT_t_squared",-0.408284661628459,0.831471695518535,-0.491038557089834,0.633996500912586,1056
"3:4","IR_t_IT_t",0.0480223779866744,0.0481906384285412,0.996508441320686,0.342504586035428,1056
"3:5","(Intercept)",139.795637423918,339.346305597419,0.411955678072899,0.689063380368425,1056
"3:5","IR_t",-0.972058416939788,1.21451628135503,-0.800366723659946,0.442097559949436,1056
"3:5","IT_t",7.66984134585173,55.943640557254,0.137099432025741,0.893673242255132,1056
"3:5","IR_t_squared",0.000647555031446738,0.00135640603891649,0.477405004746229,0.643336513023106,1056
"3:5","IT_t_squared",-1.36989514509431,2.34144332727643,-0.585064404137332,0.571469007996764,1056
"3:5","IR_t_IT_t",0.0886508675154464,0.104829004972445,0.845671172198469,0.417511818541977,1056
"3:6","(Intercept)",-208.610006638116,314.225456539601,-0.663886398433238,0.521774483127588,1056
"3:6","IR_t",0.101580633415815,0.47582120286019,0.213484882147343,0.83523841996443,1056
"3:6","IT_t",55.0373644340851,53.3059820348066,1.03248007696675,0.326171284450109,1056
"3:6","IR_t_squared",-0.000645003439270544,0.000438362161601456,-1.47139396546949,0.171940413887437,1056
"3:6","IT_t_squared",-2.82307979111772,2.26872287249493,-1.24434756899734,0.241746751282155,1056
"3:6","IR_t_IT_t",0.0173963276223783,0.044589059502157,0.390147893151609,0.704608399982628,1056
"3:7","(Intercept)",116.035588102437,424.660322656299,0.273243300378574,0.790226317617457,1056
"3:7","IR_t",0.0547085496074388,0.491729711393939,0.111257360171206,0.913613668030088,1056
"3:7","IT_t",-9.2342829572058,63.8522152606572,-0.14461961765163,0.887884377694412,1056
"3:7","IR_t_squared",-0.000623025955592999,0.000172356797976605,-3.61474547512518,0.00473071401090112,1056
"3:7","IT_t_squared",0.130904868234773,2.41824743938258,0.0541321231661038,0.957896092323752,1056
"3:7","IR_t_IT_t",0.0284563698318076,0.0403051168610407,0.706023752019284,0.496292228234597,1056
"3:8","(Intercept)",-528.366073109281,708.636088286018,-0.745609886150793,0.473064807057211,1056
"3:8","IR_t",0.226420950367354,0.603161432742855,0.375390298643123,0.715209975003763,1056
"3:8","IT_t",85.2976403086516,106.3670012024,0.801918257959938,0.44123998443677,1056
"3:8","IR_t_squared",-0.000410294446753328,0.000187939614107617,-2.18311849101908,0.0539602567207993,1056
"3:8","IT_t_squared",-3.2635442547354,3.96728421301194,-0.822614181265763,0.429906347334542,1056
"3:8","IR_t_IT_t",0.00636174768289128,0.0431685431821944,0.147369987818243,0.88576891298092,1056
"3:9","(Intercept)",-616.17080795038,866.031339821488,-0.711487886890316,0.493044725285679,1056
"3:9","IR_t",0.662343553492127,0.640491329730085,1.03411790721859,0.32544173886589,1056
